Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
21,NewMexico,Farmington,San Juan,KB5ITS,,53.01000,+,0.5,FM,TONE,,NO,Exact,36.72809982,-108.21800232,--:--
21,NewMexico,Carlsbad,Eddy,KD6WJG,,53.08000,+,0.5,FM,TONE,,NO,Exact,32.42070007,-104.22899628,--:--
21,NewMexico,Alamogordo,Otero,KA5BYL,,53.41000,+,0.5,FM,,,NO,Exact,32.89939880,-105.95999908,--:--
21,NewMexico,Las Cruces,Dona Ana,N5BL,,53.75000,+,1.0,FM,TONE,,NO,Exact,32.31993960,-106.76365380,--:--
21,NewMexico,Alamogordo - La Luz,Otero,W6DHS,,144.96000,+,0.4,FM,,,NO,Exact,32.89950180,-105.95999908,--:--
21,NewMexico,Pinos Altos,Grant,NM5ML,,145.11500,+,0.6,FM,TONE,,NO,Exact,32.74819946,-108.16600037,--:--
21,NewMexico,Farmington,San Juan,KF5VBE,,145.11500,+,0.6,FM,,,NO,Exact,36.78170013,-107.98999786,--:--
21,NewMexico,Albuquerque - Fire Sta 35,Bernalillo,NM5BC,,145.13000,+,0.6,FM,TONE,100.0,NO,Exact,35.17350006,-106.51000214,--:--
21,NewMexico,Caballo - Caballo Peak,Sierra,NM5EM,,145.13000,+,0.6,FM,TONE,,NO,Exact,33.13309860,-107.23500061,--:--
21,NewMexico,Tijeras - Cedro Peak,Bernalillo,NM5BC_1,,145.15000,+,0.6,FM,TONE,100.0,NO,Exact,35.05300140,-106.35199738,--:--
21,NewMexico,Lordsburg - Jack's Peak,Hidalgo,N5IA,,145.17000,+,0.6,FM,TONE,,NO,Exact,32.58300018,-108.42500305,--:--
21,NewMexico,Cuba - Eureka Mesa,Sandoval,NM5EM_1,,145.17500,+,0.6,FM,TONE,156.7,NO,Exact,36.01338400,-106.84455900,--:--
21,NewMexico,Socorro - Socorro Peak,Socorro,NM5EM_2,,145.17500,+,0.6,FM,TONE,141.3,NO,Exact,34.05839920,-106.89099884,--:--
21,NewMexico,Tularosa,Otero,N6CID,,145.18000,+,0.6,DV,,,NO,Exact,33.07397300,-106.01860250,--:--
21,NewMexico,Los Alamos - Pajarito Mtn,Los Alamos,W5SF,,145.19000,+,0.6,DV,TONE,162.2,NO,Exact,35.88669968,-106.39499664,--:--
21,NewMexico,Los Alamos - Pajarito Mtn,Los Alamos,NM5EC,,145.19000,+,0.6,DV,,,NO,Exact,35.88669968,-106.39499664,--:--
21,NewMexico,Maxwell - Eagle Tail Mtn,Colfax,N5GDR,,145.21000,+,0.6,FM,TONE,110.9,NO,Exact,36.68300000,-104.41500000,--:--
21,NewMexico,Lordsburg - Jack's Peak,Hidalgo,K7EAR,,145.21000,+,0.6,FM,TONE,,NO,Exact,32.58269400,-108.42580300,--:--
21,NewMexico,Santa Fe - Food Depot,Santa Fe,W5SF_1,,145.21000,+,0.6,FM,,,NO,Exact,35.65900000,-105.99600000,--:--
21,NewMexico,Cloudcroft - Benson Ridge,Otero,K5KKO,,145.23000,+,0.6,FM,TONE,,NO,Exact,32.85810089,-105.71099854,--:--
21,NewMexico,Cedar Crest,Bernalillo,K6EEN,,145.25000,+,0.6,FM,TONE,82.5,NO,Exact,35.12996800,-106.36581200,--:--
21,NewMexico,Lordsburg - Jack's Peak,Hidalgo,N5IA_1,,145.25000,+,0.6,FM,TONE,,NO,Exact,32.35029984,-108.70800018,--:--
21,NewMexico,Caprock - Caudill Ranch,Lea,NM5EM_3,,145.25000,+,0.6,FM,TONE,,NO,Exact,33.39210129,-103.71199799,--:--
21,NewMexico,Red River - Valle Vidal,Taos,KF5PFO,,145.25000,+,0.6,FM,TONE,,NO,Exact,36.75999832,-105.30999756,--:--
21,NewMexico,Luna - South Mtn,Catron,K7EAR_1,,145.27000,+,0.6,FM,TONE,,NO,Exact,33.82700000,-109.17000000,--:--
21,NewMexico,Albuquerque - Sandia Crest,Bernalillo,NM5ML_1,,145.29000,+,0.6,FM,TONE,,NO,Exact,35.20890045,-106.44699860,--:--
21,NewMexico,Caballo - Caballo Peak,Sierra,K5URR,,145.31000,+,0.6,FM,TONE,,NO,Exact,32.97153800,-107.22647000,--:--
21,NewMexico,Albuquerque - Sandia Crest,Bernalillo,W5CSY,,145.33000,+,0.6,FM,TONE,,NO,Exact,35.20890045,-106.44699860,--:--
21,NewMexico,Alamogordo - Long Ridge,Otero,WA5IHL,,145.35000,+,0.6,FM,TONE,,NO,Exact,32.83309937,-105.88300323,--:--
21,NewMexico,Edgewood,Bernalillo,KF5MEF,,145.37000,+,0.6,FM,TONE,,NO,Exact,35.06344100,-106.17920800,--:--
21,NewMexico,Clovis - Claud,Curry,NM5EM_4,,145.37000,+,0.6,FM,TONE,,NO,Exact,34.40480042,-103.20500183,--:--
21,NewMexico,Wagon Mound - Turkey Mtn,Mora,NM5EM_5,,145.37000,+,0.6,FM,TONE,,NO,Exact,35.98400116,-104.90100098,--:--
21,NewMexico,Cloudcroft - Benson Ridge,Otero,NM5EM_6,,145.37000,+,0.6,FM,TONE,,NO,Exact,32.95729828,-105.74199677,--:--
21,NewMexico,Edgewood,Santa Fe,KF5MEF_1,,145.37000,+,0.6,FM,TONE,,NO,Exact,35.06140000,-106.19140000,--:--
21,NewMexico,Cubero,Cibola,KE5FYL,,145.39000,+,0.6,FM,TONE,127.3,NO,Exact,35.13005530,-107.65779960,--:--
21,NewMexico,Red River,Taos,KF5PFO_1,,145.39000,+,0.6,FM,TONE,,NO,Exact,36.69300079,-105.51399994,--:--
21,NewMexico,La Cueva,Sandoval,W5HO,,145.41000,+,0.6,FM,TONE,,NO,Exact,35.86729813,-106.63800049,--:--
21,NewMexico,Columbus,Luna,W5DAR,,145.43000,+,0.6,FM,TONE,,NO,Exact,31.82760048,-107.63999939,--:--
21,NewMexico,Zuni - Black Rock,McKinley,KD5SAR,,145.43000,+,0.6,FM,TONE,,NO,Exact,35.11500000,-108.73920000,--:--
21,NewMexico,Los Lunas - Meadow Lake,Valencia,KC5OUR,,145.43000,+,0.6,DV,TONE,,NO,Exact,34.80540000,-106.54560000,--:--
21,NewMexico,Ruidoso,Lincoln,KR5NM,,145.45000,+,0.6,FM,TONE,,NO,Exact,33.30939865,-105.65799713,--:--
21,NewMexico,Caballo - Caballo Lake,Sierra,K7EAR_2,,145.47000,+,0.6,FM,TONE,,NO,Exact,33.13309860,-107.23500061,--:--
21,NewMexico,Glenwood - Brushy Mtn,Catron,K5LME,,145.49000,+,0.6,FM,TONE,,NO,Exact,33.30300000,-108.93300000,--:--
21,NewMexico,Raton,Colfax,N0DRC,,145.49000,+,0.6,FM,TONE,,NO,Exact,36.76000000,-104.40500000,--:--
21,NewMexico,Lybrook,Rio Arriba,NM5SJ,,145.49000,+,0.6,FM,TONE,,NO,Exact,36.23329926,-107.56199646,--:--
21,NewMexico,Corona - Gallinas Peak,Lincoln,NM5EM_7,,145.51500,+,0.6,FM,TONE,,NO,Exact,34.24440002,-105.79100037,--:--
21,NewMexico,Capitan - Capitan Mountain,Lincoln,KR5NM_1,,146.61000,+,0.6,FM,TONE,,NO,Exact,33.60645542,-105.36043289,--:--
21,NewMexico,Aztec - Hottel Hill,San Juan,KB5ITS_1,,146.61000,+,0.6,FM,TONE,,NO,Exact,36.80630112,-108.00199890,--:--
21,NewMexico,Grants - MW Ridge,Bernalillo,K5URR_1,,146.64000,+,0.6,FM,TONE,67.0,NO,Exact,35.18880081,-107.59999847,--:--
21,NewMexico,Roswell - NMMI,Chaves,N5MMI,,146.64000,+,0.6,FM,TONE,,NO,Exact,33.41230011,-104.52300262,--:--
21,NewMexico,Las Cruces/ Twin Peaks,Dona Ana,N5BL_1,,146.64000,+,0.6,FM,TONE,,NO,Exact,32.40409851,-106.76300049,--:--
21,NewMexico,Grants - Microwave Ridge,Cibola,NM5ML_2,,146.66000,+,0.6,FM,TONE,,NO,Exact,35.18910000,-107.59960000,--:--
21,NewMexico,Roswell - Capitan Peak,Lincoln,WA5IHL_1,,146.66000,+,0.6,FM,TONE,,NO,Exact,33.59109879,-105.26499939,--:--
21,NewMexico,Socorro - M Mtn,Socorro,W5AQA,,146.68000,+,0.6,FM,TONE,123.0,NO,Exact,34.07170105,-106.96299744,--:--
21,NewMexico,Belen,Valencia,KC5OUR_1,,146.70000,+,0.6,DV,TONE,,NO,Exact,34.66279984,-106.77600098,--:--
21,NewMexico,Tijeras,Bernalillo,K5CQH,,146.72000,+,0.6,FM,TONE,127.3,NO,Exact,34.98500061,-106.34500122,--:--
21,NewMexico,Aztec,San Juan,NM5SJ_1,,146.74000,+,0.6,FM,TONE,,NO,Exact,36.82220078,-107.99199677,--:--
21,NewMexico,Carlsbad,Eddy,KD6WJG_1,,146.76000,+,0.6,FM,TONE,,NO,Exact,32.42070007,-104.22899628,--:--
21,NewMexico,Farmington,San Juan,KB5ITS_2,,146.76000,+,0.6,FM,TONE,100.0,NO,Exact,36.72809982,-108.21800232,--:--
21,NewMexico,Caballo - Caballo Peak,Sierra,N5BL_2,,146.76000,+,0.6,FM,TONE,,NO,Exact,32.88759995,-107.26899719,--:--
21,NewMexico,Tres Piedras - San Antonio Mtn,Taos,KF5PFO_2,,146.76000,+,0.6,FM,TONE,,NO,Exact,36.64690018,-105.96700287,--:--
21,NewMexico,Organ - San Augustin Peak,Dona Ana,N5IAC,,146.78000,+,0.6,FM,TONE,,NO,Exact,32.42580032,-106.56700134,--:--
21,NewMexico,Tres Piedras - San Antonio Mtn,Taos,KF5PFO_3,,146.78000,+,0.6,DV,,,NO,Exact,36.85900000,-106.01890000,--:--
21,NewMexico,Portales,Roosevelt,KE5RUE,,146.82000,+,0.6,FM,TONE,,NO,Exact,34.18610001,-103.33399963,--:--
21,NewMexico,Sanostee - Roof Butte,San Juan,NM5SJ_2,,146.82000,+,0.6,FM,TONE,,NO,Exact,36.46139908,-109.09600067,--:--
21,NewMexico,Santa Fe - Tesuque Peak,Santa Fe,W5SF_2,,146.82000,+,0.6,FM,TONE,,NO,Exact,35.78499985,-105.78099823,--:--
21,NewMexico,Apache Creek - Mangas Mtn,Catron,K5LME_1,,146.84000,+,0.6,FM,TONE,,NO,Exact,34.05196000,-108.30735000,--:--
21,NewMexico,Las Cruces - Twin Peaks,Dona Ana,N5BL_3,,146.84000,+,0.6,FM,,,NO,Exact,32.40450000,-106.76220000,--:--
21,NewMexico,Redlake ,Roosevelt,KE5RUE_1,,146.84000,+,0.6,FM,TONE,,NO,Exact,33.90000153,-103.50000000,--:--
21,NewMexico,La Cueva,Sandoval,N9PGQ,,146.84000,+,0.6,FM,TONE,,NO,Exact,35.66600000,-106.74600000,--:--
21,NewMexico,Farmington,San Juan,K5WXI,,146.85000,+,0.6,FM,TONE,100.0,NO,Exact,36.72809982,-108.21800232,--:--
21,NewMexico,Carlsbad,Eddy,N5CNM,,146.88000,+,0.6,FM,TONE,,NO,Exact,32.41650009,-104.23000336,--:--
21,NewMexico,Los Alamos - Barranca Mesa,Los Alamos,W5PDO,,146.88000,+,0.6,FM,,,NO,Exact,35.90269852,-106.28199768,--:--
21,NewMexico,Aztec - Tank Mtn,San Juan,KB5ITS_3,,146.88000,+,0.6,FM,TONE,,NO,Exact,36.82220078,-107.99299622,--:--
21,NewMexico,Albuquerque - Op Ctr,Bernalillo,K5FIQ,,146.90000,+,0.6,FM,TONE,,NO,Exact,35.05780029,-106.58699799,--:--
21,NewMexico,Ruidoso - Alto Crest,Lincoln,KR5NM_2,,146.92000,+,0.6,FM,TONE,,NO,Exact,33.38639832,-105.67099762,--:--
21,NewMexico,Bloomfield,San Juan,K5WXI_1,,146.92000,+,0.6,FM,TONE,,NO,Exact,36.71110153,-107.98400116,--:--
21,NewMexico,Roswell,Chaves,KJ5UFO,,146.94000,+,0.6,FM,,,NO,Exact,33.39419937,-104.52200317,--:--
21,NewMexico,Grants - Mt Taylor,Cibola,K5URR_2,,146.94000,+,0.6,FM,TONE,,NO,Exact,35.23860168,-107.60800171,--:--
21,NewMexico,Belen - Capilla Peak,Torrance,K5URR_3,,146.96000,+,0.6,FM,TONE,88.5,NO,Exact,34.70140076,-106.40100098,--:--
21,NewMexico,Grants - Mt Taylor,Cibola,NM5EM_8,,146.98000,+,0.6,FM,TONE,141.3,NO,Exact,35.25249863,-107.59700012,--:--
21,NewMexico,Silver City - Black Peak,Grant,K5GAR,,146.98000,+,0.6,FM,TONE,,NO,Exact,32.90947800,-108.16219100,--:--
21,NewMexico,Ruidoso - Buck Mtn,Lincoln,K5RIC,,146.98000,+,0.6,FM,TONE,100.0,NO,Exact,33.33169937,-105.67299652,--:--
21,NewMexico,High Rolls,Otero,KF5MQH,,147.00000,-,0.6,DV,TONE,100.0,NO,Exact,32.93989944,-105.84200287,--:--
21,NewMexico,Portales - ENMU,Roosevelt,W5OMU,,147.00000,-,0.6,FM,TONE,,NO,Exact,34.18069839,-103.35199738,--:--
21,NewMexico,Midway (Portales),Roosevelt,KE5RUE_2,,147.00000,-,0.6,FM,TONE,,NO,Exact,34.25000000,-103.23000336,--:--
21,NewMexico,Farmington - College Hill,San Juan,KB5ITS_4,,147.00000,-,0.6,FM,TONE,,NO,Exact,36.76200000,-108.18200000,--:--
21,NewMexico,Deming - Little Florida Mtn,Luna,NM5ML_3,,147.02000,-,0.6,FM,TONE,,NO,Exact,32.26860046,-107.75800323,--:--
